postal_code,gender,age,concern_local,concern_global,information,education,income,concerned_local_binary,concerned_global_binary,informed_binary
M1S,Man,21,Very concerned,Very concerned,Not very informed,"Some community college, vocational, trade school","Under $40,000",TRUE,TRUE,FALSE
M9A,Woman,30,Not very concerned,Not very concerned,Not very informed,Prefer not to answer,Prefer not to answer,FALSE,FALSE,FALSE
M9B,Man,55,Not very concerned,Not very concerned,Very informed,Completed undergraduate degree,"More than $150,000",FALSE,FALSE,TRUE
m6s,Woman,32,Very concerned,Very concerned,Not very informed,Post graduate/professional school,"$100,001 to $150,000",TRUE,TRUE,FALSE
M6p,Woman,57,Extremely concerned,Extremely concerned,Not very informed,"Some community college, vocational, trade school","$80,001 to $100,000",TRUE,TRUE,FALSE
M4J,Woman,30,Very concerned,Very concerned,Very informed,Post graduate/professional school,"$80,001 to $100,000",TRUE,TRUE,TRUE
M2K,Woman,32,Extremely concerned,Extremely concerned,Very informed,Completed undergraduate degree,"$40,001 to $60,000",TRUE,TRUE,TRUE
M2M,Woman,30,Very concerned,Very concerned,Not very informed,Some university,"$80,001 to $100,000",TRUE,TRUE,FALSE
M4K,Man,38,Very concerned,Very concerned,Very informed,Completed undergraduate degree,"$100,001 to $150,000",TRUE,TRUE,TRUE
m3h,Woman,40,Very concerned,Very concerned,Very informed,Some university,"$40,001 to $60,000",TRUE,TRUE,TRUE
M1v,Man,99,Donâ€™t know,Not at all concerned,Not at all informed,Prefer not to answer,Prefer not to answer,NA,FALSE,FALSE
M6S,Woman,56,Extremely concerned,Extremely concerned,Very informed,Some university,"$80,001 to $100,000",TRUE,TRUE,TRUE
M5h,Woman,36,Very concerned,Very concerned,Not very informed,Completed undergraduate degree,"$80,001 to $100,000",TRUE,TRUE,FALSE
M1l,Man,33,Not at all concerned,Not at all concerned,Very informed,Some university,"More than $150,000",FALSE,FALSE,TRUE
M1k,Man,36,Extremely concerned,Extremely concerned,Very informed,Post graduate/professional school,Prefer not to answer,TRUE,TRUE,TRUE
M2R,Man,31,Very concerned,Very concerned,Very informed,Completed undergraduate degree,"$100,001 to $150,000",TRUE,TRUE,TRUE
M1B,Man,24,Very concerned,Very concerned,Very informed,Completed undergraduate degree,"$60,001 to $80,000",TRUE,TRUE,TRUE
M1L,Man,59,Very concerned,Very concerned,Very informed,Completed undergraduate degree,"$60,001 to $80,000",TRUE,TRUE,TRUE
M1K,Man,27,Very concerned,Very concerned,Not very informed,"Some community college, vocational, trade school","$40,001 to $60,000",TRUE,TRUE,FALSE
m3a,Man,56,Not very concerned,Not very concerned,Very informed,Post graduate/professional school,"$60,001 to $80,000",FALSE,FALSE,TRUE
M1l,Woman,34,Not very concerned,Very concerned,Very informed,"Completed community college, vocational, trade school","$100,001 to $150,000",FALSE,TRUE,TRUE
M8x,Woman,30,Very concerned,Very concerned,Very informed,Completed undergraduate degree,"More than $150,000",TRUE,TRUE,TRUE
M9A,Woman,34,Very concerned,Very concerned,Very informed,Post graduate/professional school,"$80,001 to $100,000",TRUE,TRUE,TRUE
M1W,Woman,55,Not at all concerned,Not at all concerned,Not very informed,High school or less,"Under $40,000",FALSE,FALSE,FALSE
M3a,Woman,44,Not very concerned,Not very concerned,Not very informed,Post graduate/professional school,"$60,001 to $80,000",FALSE,FALSE,FALSE
M1N,Man,19,Very concerned,Extremely concerned,Very informed,Some university,"More than $150,000",TRUE,TRUE,TRUE
M6n,Woman,31,Not at all concerned,Not at all concerned,Very informed,Completed undergraduate degree,"$80,001 to $100,000",FALSE,FALSE,TRUE
M4W,Woman,75,Extremely concerned,Extremely concerned,Very informed,Post graduate/professional school,"$80,001 to $100,000",TRUE,TRUE,TRUE
m1l,Woman,68,Extremely concerned,Extremely concerned,Very informed,"Some community college, vocational, trade school",Prefer not to answer,TRUE,TRUE,TRUE
M6c,Man,65,Very concerned,Very concerned,Very informed,"Completed community college, vocational, trade school","$100,001 to $150,000",TRUE,TRUE,TRUE
M5t,Woman,35,Very concerned,Extremely concerned,Very informed,Post graduate/professional school,"$80,001 to $100,000",TRUE,TRUE,TRUE
m1w,Woman,61,Very concerned,Extremely concerned,Not very informed,Completed undergraduate degree,"Under $40,000",TRUE,TRUE,FALSE
M5M,Man,25,Extremely concerned,Extremely concerned,Very informed,Completed undergraduate degree,"$80,001 to $100,000",TRUE,TRUE,TRUE
M5V,Woman,48,Extremely concerned,Extremely concerned,Very informed,Post graduate/professional school,Prefer not to answer,TRUE,TRUE,TRUE
m4e,Woman,57,Very concerned,Very concerned,Not very informed,Post graduate/professional school,"$40,001 to $60,000",TRUE,TRUE,FALSE
M3A,Man,27,Not very concerned,Not very concerned,Not very informed,Post graduate/professional school,"More than $150,000",FALSE,FALSE,FALSE
M1W,Woman,70,Very concerned,Very concerned,Not very informed,Some university,"$40,001 to $60,000",TRUE,TRUE,FALSE
m3c,Woman,64,Very concerned,Very concerned,Very informed,"Completed community college, vocational, trade school",Prefer not to answer,TRUE,TRUE,TRUE
M1N,Woman,53,Very concerned,Very concerned,Not very informed,"Completed community college, vocational, trade school","$80,001 to $100,000",TRUE,TRUE,FALSE
M3A,Woman,70,Extremely concerned,Extremely concerned,Very informed,"Some community college, vocational, trade school","$40,001 to $60,000",TRUE,TRUE,TRUE
M3A,Woman,69,Extremely concerned,Very concerned,Very informed,Post graduate/professional school,"$100,001 to $150,000",TRUE,TRUE,TRUE
M3a,Man,48,Extremely concerned,Very concerned,Not very informed,"Some community college, vocational, trade school","$60,001 to $80,000",TRUE,TRUE,FALSE
M2n,Man,44,Not very concerned,Very concerned,Very informed,Post graduate/professional school,"More than $150,000",FALSE,TRUE,TRUE
m2j,Woman,63,Extremely concerned,Extremely concerned,Very informed,Prefer not to answer,Prefer not to answer,TRUE,TRUE,TRUE
M2N,Woman,67,Not very concerned,Very concerned,Very informed,Completed undergraduate degree,Prefer not to answer,FALSE,TRUE,TRUE
m2j,Man,58,Not very concerned,Not very concerned,Not very informed,"Completed community college, vocational, trade school","$40,001 to $60,000",FALSE,FALSE,FALSE
M4b,Woman,33,Very concerned,Very concerned,Very informed,Post graduate/professional school,"Under $40,000",TRUE,TRUE,TRUE
M3A,Woman,54,Very concerned,Very concerned,Very informed,Post graduate/professional school,"$100,001 to $150,000",TRUE,TRUE,TRUE
M3m,Man,47,Not at all concerned,Not very concerned,Not very informed,Some university,"$100,001 to $150,000",FALSE,FALSE,FALSE
m8v,Man,67,Not very concerned,Extremely concerned,Very informed,Some university,Prefer not to answer,FALSE,TRUE,TRUE
